V_vs_Li,Q_mAh
0.103587,0.10457
0.103593,0.104695
0.103596,0.104821
0.103587,0.104947
0.103584,0.105073
0.103588,0.105199
0.103591,0.105325
0.103594,0.10545
0.103596,0.105576
0.103584,0.105702
0.103609,0.105828
0.103597,0.105954
0.103607,0.10608
0.103597,0.106205
0.103592,0.106331
0.103592,0.106457
0.1036,0.106583
0.103597,0.106709
0.103593,0.106835
0.103592,0.106961
0.10359,0.107086
0.103592,0.107212
0.103597,0.107338
0.103591,0.107464
0.103594,0.10759
0.103585,0.107715
0.103597,0.107841
0.103598,0.107967
0.103582,0.108093
0.103589,0.108219
0.103585,0.108345
0.103583,0.108471
0.103586,0.108596
0.103586,0.108722
0.103579,0.108848
0.103569,0.108974
0.103577,0.1091
0.103582,0.109226
0.10358,0.109351
0.103573,0.109477
0.103583,0.109603
0.103574,0.109729
0.103575,0.109855
0.103576,0.109981
0.10358,0.110106
0.103573,0.110232
0.103584,0.110358
0.10358,0.110484
0.103563,0.11061
0.103582,0.110736
0.103574,0.110862
0.103574,0.110987
0.103572,0.111113
0.103563,0.111239
0.103567,0.111365
0.103566,0.111491
0.103566,0.111616
0.10358,0.111742
0.103566,0.111868
0.103578,0.111994
0.103575,0.11212
0.103572,0.112246
0.103564,0.112371
0.103572,0.112497
0.103565,0.112623
0.103569,0.112749
0.103575,0.112875
0.103572,0.113001
0.103557,0.113126
0.103569,0.113252
0.103562,0.113378
0.103577,0.113504
0.103558,0.11363
0.103563,0.113756
0.103566,0.113881
0.103569,0.114007
0.103562,0.114133
0.103556,0.114259
0.103562,0.114385
0.103559,0.114511
0.103548,0.114637
0.103561,0.114762
0.103563,0.114888
0.10356,0.115014
0.103557,0.11514
0.103555,0.115266
0.103556,0.115392
0.103552,0.115517
0.103553,0.115643
0.103543,0.115769
0.103546,0.115895
0.103546,0.116021
0.103541,0.116147
0.103536,0.116272
0.103541,0.116398
0.10354,0.116524
0.103548,0.11665
0.103546,0.116776
0.103534,0.116902
0.103537,0.117027
0.103526,0.117153
0.103531,0.117279
0.103523,0.117405
0.103533,0.117531
0.103537,0.117657
0.103533,0.117782
0.103534,0.117908
0.103534,0.118034
0.103529,0.11816
0.103523,0.118286
0.103534,0.118412
0.103517,0.118537
0.103533,0.118663
0.103529,0.118789
0.10353,0.118915
0.103524,0.119041
0.103532,0.119167
0.103522,0.119292
0.103532,0.119418
0.103525,0.119544
0.103532,0.11967
0.103521,0.119796
0.103524,0.119922
0.103529,0.120048
0.103523,0.120173
0.103518,0.120299
0.103523,0.120425
0.103528,0.120551
0.103524,0.120677
0.103534,0.120802
0.103531,0.120928
0.103525,0.121054
0.10352,0.12118
0.103517,0.121306
0.103514,0.121432
0.103531,0.121558
0.103521,0.121683
0.103522,0.121809
0.103529,0.121935
0.103524,0.122061
0.103523,0.122187
0.103523,0.122313
0.103529,0.122438
0.103519,0.122564
0.10352,0.12269
0.10352,0.122816
0.103517,0.122942
0.103521,0.123068
0.103523,0.123193
0.103527,0.123319
0.103514,0.123445
0.103528,0.123571
0.103526,0.123697
0.103504,0.123823
0.10352,0.123948
0.10351,0.124074
0.10352,0.1242
0.103507,0.124326
0.103523,0.124452
0.103517,0.124578
0.103514,0.124704
0.103519,0.124829
0.103521,0.124955
0.103507,0.125081
0.103514,0.125207
0.10352,0.125333
0.103512,0.125459
0.103522,0.125584
0.10351,0.12571
0.103512,0.125836
0.103505,0.125962
0.10352,0.126088
0.103517,0.126213
0.103509,0.126339
0.103513,0.126465
0.103508,0.126591
0.103514,0.126717
0.103512,0.126843
0.103507,0.126969
0.10351,0.127094
0.103517,0.12722
0.103504,0.127346
0.1035,0.127472
0.103497,0.127598
0.103503,0.127724
