V_vs_Li,Q_mAh
0.211147,0.20843
0.211214,0.208643
0.211295,0.208857
0.211385,0.20907
0.211457,0.209284
0.211558,0.209498
0.211626,0.209711
0.211674,0.209925
0.21178,0.210138
0.211854,0.210352
0.211931,0.210565
0.212016,0.210779
0.212058,0.210992
0.21216,0.211206
0.212227,0.211419
0.212306,0.211633
0.212369,0.211847
0.212446,0.21206
0.21254,0.212274
0.21262,0.212487
0.21269,0.212701
0.212761,0.212914
0.212831,0.213128
0.212893,0.213341
0.212983,0.213555
0.213071,0.213769
0.213124,0.213982
0.213195,0.214196
0.213277,0.214409
0.21335,0.214623
0.213451,0.214836
0.213507,0.21505
0.213594,0.215263
0.213646,0.215477
0.213741,0.215691
0.213818,0.215904
0.213887,0.216118
0.213973,0.216331
0.214037,0.216545
0.214103,0.216758
0.214175,0.216972
0.214258,0.217186
0.214338,0.217399
0.214386,0.217613
0.214463,0.217826
0.21455,0.21804
0.214615,0.218253
0.214694,0.218467
0.214751,0.21868
0.214832,0.218894
0.214909,0.219107
0.214967,0.219321
0.21507,0.219535
0.21514,0.219748
0.215214,0.219962
0.215266,0.220175
0.21536,0.220389
0.215408,0.220602
0.215509,0.220816
0.215566,0.221029
0.215643,0.221243
0.215712,0.221457
0.215792,0.22167
0.215851,0.221884
0.215934,0.222097
0.216002,0.222311
0.216057,0.222524
0.216142,0.222738
0.216229,0.222951
0.216285,0.223165
0.216362,0.223379
0.216425,0.223592
0.216485,0.223806
0.21658,0.224019
0.216645,0.224233
0.216704,0.224446
0.216781,0.22466
0.216864,0.224874
0.216916,0.225087
0.216999,0.225301
0.217052,0.225514
0.217124,0.225728
0.217206,0.225941
0.217264,0.226155
0.217349,0.226368
0.217395,0.226582
0.217493,0.226795
0.217552,0.227009
0.217614,0.227223
0.217697,0.227436
0.217752,0.22765
0.217827,0.227863
0.217909,0.228077
0.217972,0.22829
0.218035,0.228504
0.218118,0.228717
0.218168,0.228931
0.218259,0.229145
0.218321,0.229358
0.218383,0.229572
0.218461,0.229785
0.218518,0.229999
0.218611,0.230212
0.218656,0.230426
0.218741,0.230639
0.218794,0.230853
0.218874,0.231067
0.218937,0.23128
0.218989,0.231494
0.21906,0.231707
0.219158,0.231921
0.219199,0.232134
0.219283,0.232348
0.219331,0.232562
0.219399,0.232775
0.219485,0.232989
0.219533,0.233202
0.21962,0.233416
0.219678,0.233629
0.219756,0.233843
0.219814,0.234056
0.219905,0.23427
0.219952,0.234483
0.22001,0.234697
0.220084,0.234911
0.220163,0.235124
0.220219,0.235338
0.220292,0.235551
0.220366,0.235765
0.220404,0.235978
0.220476,0.236192
0.220571,0.236405
0.220612,0.236619
0.220707,0.236833
0.220746,0.237046
0.220826,0.23726
0.220901,0.237473
0.220962,0.237687
0.221024,0.2379
0.221075,0.238114
0.221156,0.238327
0.221215,0.238541
0.221297,0.238755
0.221346,0.238968
0.221415,0.239182
0.221478,0.239395
0.221556,0.239609
0.221616,0.239822
0.22167,0.240036
0.221745,0.24025
0.221799,0.240463
0.221872,0.240677
0.221924,0.24089
0.22199,0.241104
0.222062,0.241317
0.222122,0.241531
0.222191,0.241744
0.222269,0.241958
0.222319,0.242171
0.222392,0.242385
0.222442,0.242599
0.222516,0.242812
0.22258,0.243026
0.222645,0.243239
0.222715,0.243453
0.222755,0.243666
0.222827,0.24388
0.222904,0.244093
0.222959,0.244307
0.223026,0.244521
0.223094,0.244734
0.223158,0.244948
0.223218,0.245161
0.22328,0.245375
0.22334,0.245588
0.223418,0.245802
0.223475,0.246015
0.223547,0.246229
0.223598,0.246443
0.223658,0.246656
0.22373,0.24687
0.223784,0.247083
0.223853,0.247297
0.223931,0.24751
0.223995,0.247724
0.224056,0.247937
0.224118,0.248151
0.224154,0.248365
0.224236,0.248578
0.224307,0.248792
0.224366,0.249005
0.224429,0.249219
0.224491,0.249432
0.224559,0.249646
0.224596,0.249859
0.224671,0.250073
0.224719,0.250287
0.224782,0.2505
0.224849,0.250714
0.224914,0.250927
0.224987,0.251141
0.225031,0.251354
0.225111,0.251568
0.225174,0.251782
0.225233,0.251995
0.225303,0.252209
0.225348,0.252422
0.225407,0.252636
0.225469,0.252849
0.225544,0.253063
0.225607,0.253276
0.225659,0.25349
0.225721,0.253704
0.225784,0.253917
0.225831,0.254131
0.225908,0.254344
0.225951,0.254558
0.226035,0.254771
0.226073,0.254985
0.226145,0.255198
0.226217,0.255412
0.226261,0.255626
0.226324,0.255839
0.22641,0.256053
0.226447,0.256266
0.226498,0.25648
0.226568,0.256693
0.226632,0.256907
0.2267,0.25712
0.226751,0.257334
0.226819,0.257547
0.226875,0.257761
0.226941,0.257975
0.227005,0.258188
0.227029,0.258402
0.227113,0.258615
0.227175,0.258829
0.227229,0.259042
0.227314,0.259256
0.227325,0.25947
0.227422,0.259683
0.227455,0.259897
0.227536,0.26011
0.227587,0.260324
0.227662,0.260537
0.227696,0.260751
0.227757,0.260964
0.22781,0.261178
0.227875,0.261391
0.227957,0.261605
0.228005,0.261819
0.228075,0.262032
0.228132,0.262246
0.22817,0.262459
0.228224,0.262673
0.22829,0.262886
0.228361,0.2631
0.228424,0.263314
0.228474,0.263527
0.228529,0.263741
0.228609,0.263954
0.228655,0.264168
0.228707,0.264381
0.228763,0.264595
0.228836,0.264808
0.228879,0.265022
0.228917,0.265236
0.229016,0.265449
0.229052,0.265663
0.229109,0.265876
0.229177,0.26609
0.229231,0.266303
0.229286,0.266517
0.229358,0.26673
0.229401,0.266944
0.229451,0.267158
0.229502,0.267371
0.229582,0.267585
0.229638,0.267798
0.229709,0.268012
0.229763,0.268225
0.229818,0.268439
0.229881,0.268653
0.229928,0.268866
0.229991,0.26908
0.230025,0.269293
0.230096,0.269507
0.23014,0.26972
